fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route
LGB7,DPS1,91801,dim1,2021-05-11 07:54:57,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1282', 'r5081', 'r5721']",
OAK4,DLA5,92557,dim1,2021-05-11 07:54:58,2021-05-12 23:59:59,"['r84', 'r102', 'r1367', 'r3093', 'r3243']",
FAT1,DPS3,91362,dim1,2021-05-11 07:55:00,2021-05-12 23:59:59,"['r109', 'r621', 'r6522']",
FAT1,DLA5,92582,dim1,2021-05-11 07:55:02,2021-05-12 23:59:59,"['r108', 'r530', 'r3296']",
TUS2,DPS1,90042,dim1,2021-05-11 07:55:04,2021-05-12 23:59:59,"['r2394', 'r4617']",
SMF1,DSD1,92127,dim1,2021-05-11 07:55:05,2021-05-12 23:59:59,"['r100', 'r2338', 'r7390']",
PSP1,DSD1,92037,dim1,2021-05-11 07:55:08,2021-05-12 23:59:59,"['r94', 'r2154', 'r7314']",
FAT1,DPS1,90042,dim1,2021-05-11 07:55:09,2021-05-12 23:59:59,"['r110', 'r546', 'r5737']",
TUS2,DSD1,92131,dim1,2021-05-11 07:55:30,2021-05-12 23:59:59,"['r67', 'r2510', 'r7064']",
LGB7,DSD1,92126,dim1,2021-05-11 07:55:31,2021-05-12 23:59:59,"['r1', 'r17', 'r106', 'r1329', 'r7209', 'r7449']",
PSP1,DSD1,92130,dim1,2021-05-11 07:55:38,2021-05-12 23:59:59,"['r94', 'r2173', 'r7333']",
LGB7,DLA5,92223,dim1,2021-05-11 07:55:38,2021-05-12 23:59:59,"['r81', 'r105', 'r1179', 'r3048', 'r3248']",
FAT1,DPS1,91702,dim1,2021-05-11 07:55:40,2021-05-12 23:59:59,"['r110', 'r594', 'r5785']",
FAT1,DSD2,92069,dim1,2021-05-11 07:55:51,2021-05-12 23:59:59,"['r671', 'r7883']",
ONT6,DPS1,91203,dim1,2021-05-11 07:55:55,2021-05-12 23:59:59,"['r1752', 'r5447']",
TUS2,DPS1,90601,dim1,2021-05-11 07:55:55,2021-05-12 23:59:59,"['r2399', 'r4622']",
SMF1,DPS1,90065,dim1,2021-05-11 07:55:56,2021-05-12 23:59:59,"['r2229', 'r5500']",
PSP1,DSD1,92075,dim1,2021-05-11 07:55:56,2021-05-12 23:59:59,"['r94', 'r2156', 'r7316']",
ONT2,DSD1,92129,dim1,2021-05-11 07:55:57,2021-05-12 23:59:59,"['r112', 'r1668', 'r7272', 'r7512']",
FAT1,DPS1,90065,dim1,2021-05-11 07:56:02,2021-05-12 23:59:59,"['r110', 'r549', 'r5740']",
LAS7,DPS1,91030,dim1,2021-05-11 07:56:03,2021-05-12 23:59:59,"['r80', 'r734', 'r4957']",
PSP1,DSD1,92117,dim1,2021-05-11 07:56:05,2021-05-12 23:59:59,"['r94', 'r2163', 'r7323']",
OAK4,DLA5,92223,dim1,2021-05-11 07:56:06,2021-05-12 23:59:59,"['r84', 'r102', 'r1347', 'r3073', 'r3223']",
PSP1,DLA5,92582,dim1,2021-05-11 07:56:08,2021-05-12 23:59:59,"['r93', 'r2042', 'r3171']",
LAS7,DPS1,91024,dim1,2021-05-11 07:56:11,2021-05-12 23:59:59,"['r80', 'r733', 'r4956']",
LGB7,DPS1,90065,dim1,2021-05-11 07:56:11,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1221', 'r5020', 'r5660']",
LGB3,DPS1,91104,dim1,2021-05-11 07:56:33,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r905', 'r4720']",
PSP1,DPS1,91107,dim1,2021-05-11 07:56:36,2021-05-12 23:59:59,"['r2084', 'r5363']",
TUS2,DLA5,92410,dim1,2021-05-11 07:56:40,2021-05-12 23:59:59,"['r66', 'r2370', 'r2938']",
PSP1,DPS1,91770,dim1,2021-05-11 07:56:40,2021-05-12 23:59:59,"['r2117', 'r5396']",
LGB3,DPS1,91208,dim1,2021-05-11 07:56:46,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r917', 'r4732']",
FAT1,DSD1,92129,dim1,2021-05-11 07:56:46,2021-05-12 23:59:59,"['r660', 'r7482']",
LGB7,DLA5,92583,dim1,2021-05-11 07:56:52,2021-05-12 23:59:59,"['r81', 'r105', 'r1203', 'r3072', 'r3272']",
BFL1,DPS1,91103,dim1,2021-05-11 07:56:53,2021-05-12 23:59:59,"['r92', 'r400', 'r5279']",
BFL1,DPS1,91702,dim1,2021-05-11 07:56:54,2021-05-12 23:59:59,"['r92', 'r426', 'r5305']",
OAK4,DSD1,92117,dim1,2021-05-11 07:56:55,2021-05-12 23:59:59,"['r103', 'r1491', 'r7233', 'r7413']",
BFL1,DSD1,92111,dim1,2021-05-11 07:56:57,2021-05-12 23:59:59,"['r482', 'r7292']",
LGB3,DPS1,91108,dim1,2021-05-11 07:56:58,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r909', 'r4724']",
TUS2,DPS1,91722,dim1,2021-05-11 07:57:01,2021-05-12 23:59:59,"['r2444', 'r4667']",
BFL1,DLA5,92374,dim1,2021-05-11 07:57:02,2021-05-12 23:59:59,"['r90', 'r347', 'r3131']",
LGB7,DLA5,92583,dim1,2021-05-11 07:57:04,2021-05-12 23:59:59,"['r81', 'r105', 'r1203', 'r3072', 'r3272']",
SMF1,DSD1,92126,dim1,2021-05-11 07:57:05,2021-05-12 23:59:59,"['r100', 'r2337', 'r7389']",
FAT1,DPS3,91320,dim1,2021-05-11 07:57:10,2021-05-12 23:59:59,"['r109', 'r617', 'r6518']",
FAT1,DPS1,91106,dim1,2021-05-11 07:57:22,2021-05-12 23:59:59,"['r110', 'r571', 'r5762']",
FAT1,DSD1,92126,dim1,2021-05-11 07:57:22,2021-05-12 23:59:59,"['r657', 'r7479']",
PSP1,DLA5,92557,dim1,2021-05-11 07:57:24,2021-05-12 23:59:59,"['r93', 'r2039', 'r3168']",
TUS2,DLA5,92374,dim1,2021-05-11 07:57:29,2021-05-12 23:59:59,"['r66', 'r2363', 'r2931']",
BFL1,DPS1,91010,dim1,2021-05-11 07:57:29,2021-05-12 23:59:59,"['r92', 'r393', 'r5272']",
PSP1,DSD1,92126,dim1,2021-05-11 07:57:31,2021-05-12 23:59:59,"['r94', 'r2169', 'r7329']",
LGB6,DSD1,92126,dim1,2021-05-11 07:57:32,2021-05-12 23:59:59,"['r1161', 'r7119']",
PHX6,DSD2,92054,dim1,2021-05-11 07:57:32,2021-05-12 23:59:59,"['r77', 'r2011', 'r7747']",
FAT1,DPS1,91101,dim1,2021-05-11 07:57:32,2021-05-12 23:59:59,"['r110', 'r567', 'r5758']",
TUS2,DPS1,91776,dim1,2021-05-11 07:57:54,2021-05-12 23:59:59,"['r2455', 'r4678']",
LGB3,DPS1,90028,dim1,2021-05-11 07:57:58,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r875', 'r4690']",
PHX6,DLA5,92408,dim1,2021-05-11 07:57:59,2021-05-12 23:59:59,"['r75', 'r1865', 'r3012']",
PSP1,DSD1,92127,dim1,2021-05-11 07:58:02,2021-05-12 23:59:59,"['r94', 'r2170', 'r7330']",
OAK4,DSD1,92111,dim1,2021-05-11 07:58:03,2021-05-12 23:59:59,"['r103', 'r1490', 'r7232', 'r7412']",
PSP1,DPS1,90027,dim1,2021-05-11 07:58:05,2021-05-12 23:59:59,"['r2050', 'r5329']",
LGB3,DLA5,92571,dim1,2021-05-11 07:58:09,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r865', 'r2970']",
TUS2,DLA5,92399,dim1,2021-05-11 07:58:18,2021-05-12 23:59:59,"['r66', 'r2365', 'r2933']",
PSP1,DPS1,90033,dim1,2021-05-11 07:58:21,2021-05-12 23:59:59,"['r2055', 'r5334']",
PSP1,DPS1,91741,dim1,2021-05-11 07:58:27,2021-05-12 23:59:59,"['r2113', 'r5392']",
PSP1,DPS1,90028,dim1,2021-05-11 07:58:36,2021-05-12 23:59:59,"['r2051', 'r5330']",
LAS7,DPS1,91732,dim1,2021-05-11 07:58:40,2021-05-12 23:59:59,"['r80', 'r767', 'r4990']",
LGB3,DSD1,92121,dim1,2021-05-11 07:58:43,2021-05-12 23:59:59,"['r0', 'r13', 'r989', 'r7085']",
LAS7,DSD1,92127,dim1,2021-05-11 07:58:44,2021-05-12 23:59:59,"['r826', 'r7180']",
FAT1,DLA5,92374,dim1,2021-05-11 07:58:45,2021-05-12 23:59:59,"['r108', 'r515', 'r3281']",
PSP1,DSD2,92058,dim1,2021-05-11 07:58:45,2021-05-12 23:59:59,"['r95', 'r2182', 'r7822']",
PSP1,DPS1,90026,dim1,2021-05-11 07:58:56,2021-05-12 23:59:59,"['r2049', 'r5328']",
LGB3,DPS1,91030,dim1,2021-05-11 07:58:56,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r902', 'r4717']",
LAS7,DSD1,92130,dim1,2021-05-11 07:58:59,2021-05-12 23:59:59,"['r829', 'r7183']",
TUS2,DLA5,92407,dim1,2021-05-11 07:58:59,2021-05-12 23:59:59,"['r66', 'r2368', 'r2936']",
LAS7,DSD1,92067,dim1,2021-05-11 07:59:02,2021-05-12 23:59:59,"['r811', 'r7165']",
PHX6,DLA5,92399,dim1,2021-05-11 07:59:10,2021-05-12 23:59:59,"['r75', 'r1861', 'r3008']",
TUS2,DLA5,92324,dim1,2021-05-11 07:59:17,2021-05-12 23:59:59,"['r66', 'r2358', 'r2926']",
TUS2,DPS1,91101,dim1,2021-05-11 07:59:19,2021-05-12 23:59:59,"['r2415', 'r4638']",
LAS7,DPS1,90022,dim1,2021-05-11 07:59:19,2021-05-12 23:59:59,"['r80', 'r704', 'r4927']",
LGB3,DPS1,91776,dim1,2021-05-11 07:59:20,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r943', 'r4758']",
TUS2,DPS1,90065,dim1,2021-05-11 07:59:23,2021-05-12 23:59:59,"['r2397', 'r4620']",
PSP1,DLA5,92346,dim1,2021-05-11 07:59:31,2021-05-12 23:59:59,"['r93', 'r2023', 'r3152']",
ONT6,DPS1,91733,dim1,2021-05-11 07:59:33,2021-05-12 23:59:59,"['r1776', 'r5471']",
LGB7,DPS1,90026,dim1,2021-05-11 07:59:40,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1209', 'r5008', 'r5648']",
OAK4,DLA5,92320,dim1,2021-05-11 07:59:48,2021-05-12 23:59:59,"['r84', 'r102', 'r1349', 'r3075', 'r3225']",
LGB3,DPS3,91301,dim1,2021-05-11 07:59:50,2021-05-12 23:59:59,"['r8', 'r10', 'r70', 'r950', 'r6242']",
PSP1,DPS3,91301,dim1,2021-05-11 07:59:55,2021-05-12 23:59:59,"['r2126', 'r6410']",
ONT2,DLA5,92555,dim1,2021-05-11 07:59:58,2021-05-12 23:59:59,"['r87', 'r111', 'r1534', 'r3117', 'r3317']",
TUS2,DLA5,92583,dim1,2021-05-11 08:00:00,2021-05-12 23:59:59,"['r66', 'r2379', 'r2947']",
BFL1,DSD2,92069,dim1,2021-05-11 08:00:00,2021-05-12 23:59:59,"['r503', 'r7811']",
PSP1,DLA5,92374,dim1,2021-05-11 08:00:00,2021-05-12 23:59:59,"['r93', 'r2027', 'r3156']",
SMF1,DSD2,92056,dim1,2021-05-11 08:00:02,2021-05-12 23:59:59,"['r101', 'r2348', 'r7844']",
PSP1,DPS1,91105,dim1,2021-05-11 08:00:03,2021-05-12 23:59:59,"['r2082', 'r5361']",
OAK4,DPS1,91206,dim1,2021-05-11 08:00:03,2021-05-12 23:59:59,"['r86', 'r1419', 'r5130', 'r5610']",
LAS7,DPS1,91755,dim1,2021-05-11 08:00:09,2021-05-12 23:59:59,"['r80', 'r772', 'r4995']",
LGB3,DSD1,92037,dim1,2021-05-11 08:00:11,2021-05-12 23:59:59,"['r0', 'r13', 'r978', 'r7074']",
FAT1,DSD1,92126,dim1,2021-05-11 08:00:12,2021-05-12 23:59:59,"['r657', 'r7479']",
LAS7,DSD1,92117,dim1,2021-05-11 08:00:12,2021-05-12 23:59:59,"['r819', 'r7173']",
LGB7,DLA5,92404,dim1,2021-05-11 08:00:14,2021-05-12 23:59:59,"['r81', 'r105', 'r1190', 'r3059', 'r3259']",
BFL1,DLA5,92324,dim1,2021-05-11 08:00:15,2021-05-12 23:59:59,"['r90', 'r342', 'r3126']",
LGB3,DLA5,92507,dim1,2021-05-11 08:00:29,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r860', 'r2965']",
LGB7,DSD1,92130,dim1,2021-05-11 08:00:30,2021-05-12 23:59:59,"['r1', 'r17', 'r106', 'r1333', 'r7213', 'r7453']",
PSP1,DPS1,91790,dim1,2021-05-11 08:00:32,2021-05-12 23:59:59,"['r2121', 'r5400']",
PSP1,DSD2,92054,dim1,2021-05-11 08:00:33,2021-05-12 23:59:59,"['r95', 'r2179', 'r7819']",
PSP1,DPS1,90039,dim1,2021-05-11 08:00:33,2021-05-12 23:59:59,"['r2056', 'r5335']",
SMF1,DPS1,90640,dim1,2021-05-11 08:00:34,2021-05-12 23:59:59,"['r2236', 'r5507']",
PSP1,DPS1,91024,dim1,2021-05-11 08:00:36,2021-05-12 23:59:59,"['r2077', 'r5356']",
LGB3,DSD2,92057,dim1,2021-05-11 08:00:42,2021-05-12 23:59:59,"['r1005', 'r7725']",
LAS7,DSD2,92058,dim1,2021-05-11 08:00:47,2021-05-12 23:59:59,"['r838', 'r7762']",
BFL1,DLA5,92377,dim1,2021-05-11 08:00:48,2021-05-12 23:59:59,"['r90', 'r348', 'r3132']",
FAT1,DSD2,92081,dim1,2021-05-11 08:00:49,2021-05-12 23:59:59,"['r672', 'r7884']",
ONT2,DLA5,92374,dim1,2021-05-11 08:00:49,2021-05-12 23:59:59,"['r87', 'r111', 'r1523', 'r3106', 'r3306']",
FAT1,DSD2,92069,dim1,2021-05-11 08:00:50,2021-05-12 23:59:59,"['r671', 'r7883']",
FAT1,DSD2,92057,dim1,2021-05-11 08:00:54,2021-05-12 23:59:59,"['r669', 'r7881']",
FAT1,DSD1,92123,dim1,2021-05-11 08:00:54,2021-05-12 23:59:59,"['r655', 'r7477']",
LGB7,DLA5,92557,dim1,2021-05-11 08:00:55,2021-05-12 23:59:59,"['r81', 'r105', 'r1199', 'r3068', 'r3268']",
FAT1,DPS1,91011,dim1,2021-05-11 08:00:57,2021-05-12 23:59:59,"['r110', 'r562', 'r5753']",
LAS7,DSD2,92058,dim1,2021-05-11 08:01:14,2021-05-12 23:59:59,"['r838', 'r7762']",
LGB7,DSD2,92054,dim1,2021-05-11 08:01:22,2021-05-12 23:59:59,"['r7', 'r11', 'r107', 'r1339', 'r7771', 'r7867']",
PSP1,DPS3,91361,dim1,2021-05-11 08:01:23,2021-05-12 23:59:59,"['r2132', 'r6416']",
OAK4,DPS1,91706,dim1,2021-05-11 08:01:24,2021-05-12 23:59:59,"['r86', 'r1435', 'r5146', 'r5626']",
ONT2,DPS1,91010,dim1,2021-05-11 08:01:27,2021-05-12 23:59:59,"['r89', 'r1569', 'r5192', 'r5832']",
BFL1,DPS3,90265,dim1,2021-05-11 08:01:30,2021-05-12 23:59:59,"['r2', 'r15', 'r91', 'r444', 'r6387']",
OAK4,DPS1,91741,dim1,2021-05-11 08:01:36,2021-05-12 23:59:59,"['r86', 'r1441', 'r5152', 'r5632']",
ONT6,DPS1,90065,dim1,2021-05-11 08:01:37,2021-05-12 23:59:59,"['r1725', 'r5420']",
ONT2,DPS1,91702,dim1,2021-05-11 08:01:43,2021-05-12 23:59:59,"['r89', 'r1602', 'r5225', 'r5865']",
SMF1,DPS3,91302,dim1,2021-05-11 08:01:47,2021-05-12 23:59:59,"['r2295', 'r6453']",
SMF1,DPS1,91732,dim1,2021-05-11 08:01:50,2021-05-12 23:59:59,"['r2279', 'r5550']",
LGB3,DPS1,91741,dim1,2021-05-11 08:02:03,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r937', 'r4752']",
ONT6,DLA5,92223,dim1,2021-05-11 08:02:03,2021-05-12 23:59:59,"['r96', 'r1683', 'r3173']",
LGB3,DPS1,91723,dim1,2021-05-11 08:02:06,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r933', 'r4748']",
LAS7,DPS1,91803,dim1,2021-05-11 08:02:17,2021-05-12 23:59:59,"['r80', 'r779', 'r5002']",
LAS7,DPS1,91107,dim1,2021-05-11 08:02:32,2021-05-12 23:59:59,"['r80', 'r740', 'r4963']",
ONT6,DLA5,92405,dim1,2021-05-11 08:02:34,2021-05-12 23:59:59,"['r96', 'r1695', 'r3185']",
LGB3,DLA5,92223,dim1,2021-05-11 08:02:36,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r843', 'r2948']",
PSP1,DSD1,92122,dim1,2021-05-11 08:02:37,2021-05-12 23:59:59,"['r94', 'r2166', 'r7326']",
BFL1,DSD2,92054,dim1,2021-05-11 08:02:43,2021-05-12 23:59:59,"['r499', 'r7807']",
SMF1,DSD1,92130,dim1,2021-05-11 08:02:43,2021-05-12 23:59:59,"['r100', 'r2341', 'r7393']",
LGB7,DSD2,92008,dim1,2021-05-11 08:02:48,2021-05-12 23:59:59,"['r7', 'r11', 'r107', 'r1335', 'r7767', 'r7863']",
LGB3,DPS1,91007,dim1,2021-05-11 08:02:50,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r895', 'r4710']",
SMF1,DPS3,91301,dim1,2021-05-11 08:03:03,2021-05-12 23:59:59,"['r2294', 'r6452']",
PSP1,DPS1,91106,dim1,2021-05-11 08:03:04,2021-05-12 23:59:59,"['r2083', 'r5362']",
ONT6,DSD2,92054,dim1,2021-05-11 08:03:04,2021-05-12 23:59:59,"['r98', 'r1843', 'r7831']",
BFL1,DLA5,92324,dim1,2021-05-11 08:03:08,2021-05-12 23:59:59,"['r90', 'r342', 'r3126']",
SMF1,DLA5,92407,dim1,2021-05-11 08:03:08,2021-05-12 23:59:59,"['r99', 'r2200', 'r3211']",
LAS7,DPS1,90601,dim1,2021-05-11 08:03:10,2021-05-12 23:59:59,"['r80', 'r719', 'r4942']",
PSP1,DPS1,91024,dim1,2021-05-11 08:03:18,2021-05-12 23:59:59,"['r2077', 'r5356']",
BFL1,DPS1,90042,dim1,2021-05-11 08:03:18,2021-05-12 23:59:59,"['r92', 'r378', 'r5257']",
ONT2,DLA5,92555,dim1,2021-05-11 08:03:25,2021-05-12 23:59:59,"['r87', 'r111', 'r1534', 'r3117', 'r3317']",
FAT1,DSD2,92010,dim1,2021-05-11 08:03:26,2021-05-12 23:59:59,"['r664', 'r7876']",
PSP1,DPS1,91105,dim1,2021-05-11 08:03:44,2021-05-12 23:59:59,"['r2082', 'r5361']",
TUS2,DPS1,90027,dim1,2021-05-11 08:03:49,2021-05-12 23:59:59,"['r2386', 'r4609']",
TUS2,DPS1,91706,dim1,2021-05-11 08:03:49,2021-05-12 23:59:59,"['r2443', 'r4666']",
ONT2,DLA5,92354,dim1,2021-05-11 08:03:51,2021-05-12 23:59:59,"['r87', 'r111', 'r1520', 'r3103', 'r3303']",
FAT1,DLA5,92374,dim1,2021-05-11 08:03:54,2021-05-12 23:59:59,"['r108', 'r515', 'r3281']",
PHX6,DSD1,92124,dim1,2021-05-11 08:03:54,2021-05-12 23:59:59,"['r76', 'r2000', 'r7148']",
ONT6,DPS3,91301,dim1,2021-05-11 08:03:55,2021-05-12 23:59:59,"['r1790', 'r6431']",
PSP1,DSD2,92011,dim1,2021-05-11 08:03:59,2021-05-12 23:59:59,"['r95', 'r2177', 'r7817']",
LGB6,DPS1,91801,dim1,2021-05-11 08:04:03,2021-05-12 23:59:59,"['r74', 'r1114', 'r4841']",
BFL1,DLA5,92555,dim1,2021-05-11 08:04:04,2021-05-12 23:59:59,"['r90', 'r358', 'r3142']",
PSP1,DPS1,91706,dim1,2021-05-11 08:04:05,2021-05-12 23:59:59,"['r2107', 'r5386']",
PSP1,DPS3,90290,dim1,2021-05-11 08:04:14,2021-05-12 23:59:59,"['r2125', 'r6409']",
LGB7,DSD2,92056,dim1,2021-05-11 08:04:14,2021-05-12 23:59:59,"['r7', 'r11', 'r107', 'r1340', 'r7772', 'r7868']",
TUS2,DLA5,92320,dim1,2021-05-11 08:04:14,2021-05-12 23:59:59,"['r66', 'r2357', 'r2925']",
LAS7,DLA5,92399,dim1,2021-05-11 08:04:16,2021-05-12 23:59:59,"['r78', 'r685', 'r3033']",
TUS2,DLA5,92553,dim1,2021-05-11 08:04:16,2021-05-12 23:59:59,"['r66', 'r2373', 'r2941']",
LGB6,DPS1,90065,dim1,2021-05-11 08:04:18,2021-05-12 23:59:59,"['r74', 'r1053', 'r4780']",
PSP1,DPS3,91301,dim1,2021-05-11 08:04:24,2021-05-12 23:59:59,"['r2126', 'r6410']",
PSP1,DLA5,92374,dim1,2021-05-11 08:04:25,2021-05-12 23:59:59,"['r93', 'r2027', 'r3156']",
BFL1,DLA5,92553,dim1,2021-05-11 08:04:31,2021-05-12 23:59:59,"['r90', 'r357', 'r3141']",
FAT1,DPS1,90017,dim1,2021-05-11 08:04:33,2021-05-12 23:59:59,"['r110', 'r535', 'r5726']",
FAT1,DSD2,92008,dim1,2021-05-11 08:04:38,2021-05-12 23:59:59,"['r663', 'r7875']",
PHX6,DPS1,90640,dim1,2021-05-11 08:04:38,2021-05-12 23:59:59,"['r1900', 'r4867']",
LAS7,DLA5,92507,dim1,2021-05-11 08:04:39,2021-05-12 23:59:59,"['r78', 'r692', 'r3040']",
PSP1,DSD1,92123,dim1,2021-05-11 08:04:45,2021-05-12 23:59:59,"['r94', 'r2167', 'r7327']",
TUS2,DLA5,92557,dim1,2021-05-11 08:04:57,2021-05-12 23:59:59,"['r66', 'r2375', 'r2943']",
LAS7,DLA5,92507,dim1,2021-05-11 08:05:00,2021-05-12 23:59:59,"['r78', 'r692', 'r3040']",
BFL1,DPS1,91790,dim1,2021-05-11 08:05:04,2021-05-12 23:59:59,"['r92', 'r441', 'r5320']",
SMF1,DPS1,91202,dim1,2021-05-11 08:05:10,2021-05-12 23:59:59,"['r2255', 'r5526']",
BFL1,DLA5,92557,dim1,2021-05-11 08:05:13,2021-05-12 23:59:59,"['r90', 'r359', 'r3143']",
LAS7,DLA5,92404,dim1,2021-05-11 08:05:18,2021-05-12 23:59:59,"['r78', 'r686', 'r3034']",
FAT1,DPS1,90039,dim1,2021-05-11 08:05:18,2021-05-12 23:59:59,"['r110', 'r544', 'r5735']",
TUS2,DPS1,91007,dim1,2021-05-11 08:05:21,2021-05-12 23:59:59,"['r2407', 'r4630']",
LGB7,DLA5,92399,dim1,2021-05-11 08:05:28,2021-05-12 23:59:59,"['r81', 'r105', 'r1189', 'r3058', 'r3258']",
LGB7,DLA5,92373,dim1,2021-05-11 08:05:28,2021-05-12 23:59:59,"['r81', 'r105', 'r1186', 'r3055', 'r3255']",
LGB3,DPS1,91016,dim1,2021-05-11 08:05:28,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r899', 'r4714']",
LGB3,DLA5,92571,dim1,2021-05-11 08:05:35,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r865', 'r2970']",
BFL1,DLA5,92553,dim1,2021-05-11 08:05:36,2021-05-12 23:59:59,"['r90', 'r357', 'r3141']",
FAT1,DPS3,91367,dim1,2021-05-11 08:05:39,2021-05-12 23:59:59,"['r109', 'r623', 'r6524']",
LAS7,DLA5,92404,dim1,2021-05-11 08:05:41,2021-05-12 23:59:59,"['r78', 'r686', 'r3034']",
TUS2,DLA5,92404,dim1,2021-05-11 08:05:51,2021-05-12 23:59:59,"['r66', 'r2366', 'r2934']",
FAT1,DPS1,91107,dim1,2021-05-11 08:05:52,2021-05-12 23:59:59,"['r110', 'r572', 'r5763']",
FAT1,DSD1,92024,dim1,2021-05-11 08:05:54,2021-05-12 23:59:59,"['r637', 'r7459']",
OAK4,DPS1,91030,dim1,2021-05-11 08:05:54,2021-05-12 23:59:59,"['r86', 'r1406', 'r5117', 'r5597']",
SMF1,DPS1,90022,dim1,2021-05-11 08:06:10,2021-05-12 23:59:59,"['r2216', 'r5487']",
LGB3,DLA5,92404,dim1,2021-05-11 08:06:17,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r854', 'r2959']",
OAK4,DSD1,92117,dim1,2021-05-11 08:06:25,2021-05-12 23:59:59,"['r103', 'r1491', 'r7233', 'r7413']",
TUS2,DLA5,92373,dim1,2021-05-11 08:06:26,2021-05-12 23:59:59,"['r66', 'r2362', 'r2930']",
FAT1,DPS1,91741,dim1,2021-05-11 08:06:27,2021-05-12 23:59:59,"['r110', 'r601', 'r5792']",
PSP1,DLA5,92223,dim1,2021-05-11 08:06:27,2021-05-12 23:59:59,"['r93', 'r2019', 'r3148']",
LGB3,DLA5,92404,dim1,2021-05-11 08:06:29,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r854', 'r2959']",
TUS2,DLA5,92410,dim1,2021-05-11 08:06:31,2021-05-12 23:59:59,"['r66', 'r2370', 'r2938']",
LAS7,DPS1,91106,dim1,2021-05-11 08:06:48,2021-05-12 23:59:59,"['r80', 'r739', 'r4962']",
PSP1,DPS3,91361,dim1,2021-05-11 08:06:49,2021-05-12 23:59:59,"['r2132', 'r6416']",
LAS7,DPS3,91320,dim1,2021-05-11 08:06:57,2021-05-12 23:59:59,"['r79', 'r785', 'r6308']",
FAT1,DPS1,91101,dim1,2021-05-11 08:07:03,2021-05-12 23:59:59,"['r110', 'r567', 'r5758']",
BFL1,DPS1,91732,dim1,2021-05-11 08:07:07,2021-05-12 23:59:59,"['r92', 'r431', 'r5310']",
ONT2,DLA5,92407,dim1,2021-05-11 08:07:16,2021-05-12 23:59:59,"['r87', 'r111', 'r1528', 'r3111', 'r3311']",
TUS2,DLA5,92583,dim1,2021-05-11 08:07:26,2021-05-12 23:59:59,"['r66', 'r2379', 'r2947']",
BFL1,DPS1,91790,dim1,2021-05-11 08:07:27,2021-05-12 23:59:59,"['r92', 'r441', 'r5320']",
OAK4,DLA5,92354,dim1,2021-05-11 08:07:28,2021-05-12 23:59:59,"['r84', 'r102', 'r1352', 'r3078', 'r3228']",
OAK4,DSD1,92123,dim1,2021-05-11 08:07:32,2021-05-12 23:59:59,"['r103', 'r1495', 'r7237', 'r7417']",
LGB7,DLA5,92582,dim1,2021-05-11 08:07:37,2021-05-12 23:59:59,"['r81', 'r105', 'r1202', 'r3071', 'r3271']",
LGB3,DSD1,92117,dim1,2021-05-11 08:07:39,2021-05-12 23:59:59,"['r0', 'r13', 'r987', 'r7083']",
ONT2,DLA5,92571,dim1,2021-05-11 08:07:42,2021-05-12 23:59:59,"['r87', 'r111', 'r1537', 'r3120', 'r3320']",
FAT1,DLA5,92373,dim1,2021-05-11 08:07:45,2021-05-12 23:59:59,"['r108', 'r514', 'r3280']",
FAT1,DPS1,90640,dim1,2021-05-11 08:07:50,2021-05-12 23:59:59,"['r110', 'r556', 'r5747']",
PHX6,DPS1,91011,dim1,2021-05-11 08:07:50,2021-05-12 23:59:59,"['r1906', 'r4873']",
SMF1,DPS1,90039,dim1,2021-05-11 08:07:51,2021-05-12 23:59:59,"['r2224', 'r5495']",
LGB3,DLA5,92557,dim1,2021-05-11 08:07:51,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r863', 'r2968']",
LGB3,DPS3,91362,dim1,2021-05-11 08:07:54,2021-05-12 23:59:59,"['r8', 'r10', 'r70', 'r957', 'r6249']",
ONT2,DLA5,92557,dim1,2021-05-11 08:08:00,2021-05-12 23:59:59,"['r87', 'r111', 'r1535', 'r3118', 'r3318']",
FAT1,DSD1,92127,dim1,2021-05-11 08:08:00,2021-05-12 23:59:59,"['r658', 'r7480']",
ONT6,DLA5,92399,dim1,2021-05-11 08:08:03,2021-05-12 23:59:59,"['r96', 'r1693', 'r3183']",
